iter	Logloss
0	0.6789759486
1	0.6663097035
2	0.6539131354
3	0.6425551738
4	0.6283563031
5	0.6183017699
6	0.6074013198
7	0.5987826891
8	0.5898364359
9	0.5821230549
10	0.5689298772
11	0.5607128931
12	0.5537269529
13	0.5471803019
14	0.5416748425
15	0.535769565
16	0.5301777233
17	0.5241105576
18	0.5177792636
19	0.5134878868
20	0.5081321779
21	0.5034501257
22	0.4944010963
23	0.4892605238
24	0.4854015004
25	0.4811734286
26	0.4773462469
27	0.4736439729
28	0.4695648635
29	0.4661941528
30	0.4628105794
31	0.4590995726
32	0.455096032
33	0.4509422996
34	0.4468735939
35	0.4430954043
36	0.4365516221
37	0.432529544
38	0.4303402861
39	0.4283649981
40	0.4252982652
41	0.4227684588
42	0.4197567711
43	0.4172147956
44	0.4142344136
45	0.4118625546
46	0.4091591638
47	0.4062901331
48	0.4013848108
49	0.3983970516
50	0.3963106644
51	0.3944667469
52	0.3928144786
53	0.3904702368
54	0.3867447278
55	0.384723821
56	0.383010549
57	0.3811298087
58	0.3786676265
59	0.3772870529
60	0.3753115126
61	0.3741745436
62	0.3724309433
63	0.370466185
64	0.3690770993
65	0.3676493936
66	0.3665511707
67	0.3655477792
68	0.3644569964
69	0.3633120828
70	0.3614747859
71	0.3584208528
72	0.3571820535
73	0.3553707028
74	0.3532093458
75	0.3523915188
76	0.3512254825
77	0.3503796286
78	0.3491931632
79	0.3481133831
80	0.3466345101
81	0.3457424385
82	0.343266826
83	0.3409611726
84	0.33960995
85	0.3378959845
86	0.3362385773
87	0.3348941645
88	0.3339205655
89	0.332921903
90	0.3308471806
91	0.3299114133
92	0.3290237238
93	0.3276178029
94	0.3265220075
95	0.3256523195
96	0.3244394034
97	0.3230931306
98	0.3225027983
99	0.3218621498
100	0.3210083512
101	0.3202220822
102	0.3196566243
103	0.3186769407
104	0.3181656136
105	0.3174342636
106	0.3153882618
107	0.3138942246
108	0.3128146652
109	0.3123077519
110	0.3120274504
111	0.3114341547
112	0.3104090099
113	0.3096935178
114	0.3090793515
115	0.3075813104
116	0.3066822084
117	0.3062451575
118	0.3057349024
119	0.3051178987
120	0.3044960716
121	0.3035223149
122	0.3027017767
123	0.301548414
124	0.3006268336
125	0.2992966707
126	0.2990460041
127	0.2987873929
128	0.2982706433
129	0.2976620887
130	0.2965536827
131	0.2959124352
132	0.2952205563
133	0.2943656543
134	0.2938421896
135	0.2930795654
136	0.2921786978
137	0.2918372667
138	0.291466642
139	0.2898456479
140	0.289410867
141	0.2885379634
142	0.28835738
143	0.2875840999
144	0.2869985911
145	0.2855559105
146	0.2848157331
147	0.2829572189
148	0.28253136
149	0.2816650769
150	0.2810433443
151	0.2797858183
152	0.2793385529
153	0.278743271
154	0.2779375817
155	0.277584738
156	0.2770174515
157	0.2765067235
158	0.2758657597
159	0.2753366518
160	0.2745638761
161	0.2742035606
162	0.2737415408
163	0.2733858912
164	0.2730196488
165	0.2727561825
166	0.2723720015
167	0.2719754936
168	0.27120524
169	0.2709208717
170	0.27056683
171	0.2703134836
172	0.2700331507
173	0.2697424455
174	0.2691738034
175	0.2685024797
176	0.2681543019
177	0.267942003
178	0.2674738986
179	0.2670397798
180	0.2666013103
181	0.2661866117
182	0.2659390662
183	0.2656583865
184	0.2653983565
185	0.2649872204
186	0.2641457802
187	0.2635082686
188	0.2630942479
189	0.2626446495
190	0.262423271
191	0.2619703466
192	0.2617804945
193	0.2613989775
194	0.2608181662
195	0.2605258532
196	0.2598924716
197	0.2597187294
198	0.2593118652
199	0.2588888121
200	0.2586362224
201	0.2582454051
202	0.2581013609
203	0.2574703753
204	0.2566917356
205	0.2565141631
206	0.2561744186
207	0.255935196
208	0.2555744707
209	0.2553465977
210	0.2551103229
211	0.2549540622
212	0.2541708513
213	0.2536839887
214	0.2533441654
215	0.2531522798
216	0.252920734
217	0.2524778508
218	0.2518027124
219	0.2509648662
220	0.2507283234
221	0.2505091517
222	0.2497475049
223	0.2495246446
224	0.2492163792
225	0.2489743666
226	0.2486278597
227	0.2485199132
228	0.2481055141
229	0.2476304582
230	0.2473555951
231	0.2470097187
232	0.2468321934
233	0.2465551707
234	0.2461595456
235	0.2458597609
236	0.2457230465
237	0.2453132976
238	0.2450966007
239	0.244868381
240	0.2441581537
241	0.2437933614
242	0.2432172791
243	0.2426763487
244	0.2425428343
245	0.2423452267
246	0.2420564131
247	0.241713784
248	0.2412705224
249	0.2408403759
250	0.2407027
251	0.2401495059
252	0.2394724286
253	0.2392891498
254	0.2390511095
255	0.2387739449
256	0.2386223974
257	0.2379493083
258	0.2377529302
259	0.2374635491
260	0.2370987569
261	0.2368814137
262	0.236282191
263	0.2356270719
264	0.2354894118
265	0.2353036739
266	0.2351292382
267	0.2346076335
268	0.2341708664
269	0.2337840372
270	0.2335339065
271	0.2331952655
272	0.2329453082
273	0.2327667425
274	0.2325494309
275	0.2323764769
276	0.2318788954
277	0.2315728526
278	0.2313469185
279	0.2307097065
280	0.2304230052
281	0.2302642381
282	0.2300121686
283	0.2298697952
284	0.2294276529
285	0.2292403071
286	0.2286833298
287	0.2285112113
288	0.2283661109
289	0.2281513214
290	0.2278030017
291	0.2275837985
292	0.2273910302
293	0.2269363876
294	0.2267731123
295	0.2266229992
296	0.2258359263
297	0.225680438
298	0.2255061914
299	0.2253021051
300	0.2250978769
301	0.2248384145
302	0.2246909339
303	0.2240840344
304	0.2239750318
305	0.2237023125
306	0.2236194138
307	0.2234591019
308	0.2232976551
309	0.2231467696
310	0.2227831754
311	0.2225338014
312	0.2223422153
313	0.2221535612
314	0.221991673
315	0.2217270402
316	0.2214398975
317	0.221306793
318	0.2211686599
319	0.2210392913
320	0.2208695845
321	0.2206720084
322	0.2204756619
323	0.2203361574
324	0.2201677748
325	0.2200398406
326	0.2194574214
327	0.2192045165
328	0.219005033
329	0.2188178133
330	0.2184251675
331	0.2181710172
332	0.217870665
333	0.2176349104
334	0.2172475137
335	0.2170903545
336	0.2168697641
337	0.2167477568
338	0.216569002
339	0.2162915695
340	0.215881127
341	0.2157266475
342	0.2155793718
343	0.215378249
344	0.2152123097
345	0.2150687226
346	0.2148979912
347	0.2146023522
348	0.2143808475
349	0.2138561533
350	0.2136817491
351	0.2134042535
352	0.2132355241
353	0.2130910227
354	0.2129127881
355	0.2125205048
356	0.2123706282
357	0.2121850952
358	0.2120016429
359	0.2118255363
360	0.2115943215
361	0.2111799067
362	0.2102211251
363	0.2100335429
364	0.2098138983
365	0.2095465542
366	0.2093820493
367	0.2092639513
368	0.209056539
369	0.2089282264
370	0.208540215
371	0.2083315889
372	0.2078852378
373	0.207632585
374	0.2068707332
375	0.2066890307
376	0.2065537823
377	0.2063591066
378	0.2060908956
379	0.2059803009
380	0.2058408122
381	0.2056246356
382	0.2054590903
383	0.205088513
384	0.2048218625
385	0.2044926793
386	0.2042915092
387	0.2039006446
388	0.2036444136
389	0.2034359294
390	0.2029891054
391	0.2028412622
392	0.2024975296
393	0.2018872568
394	0.2014680973
395	0.2012350697
396	0.2008397126
397	0.2006902931
398	0.2004830226
399	0.2000219487
400	0.1998497671
401	0.1995619151
402	0.1993779427
403	0.1989732695
404	0.1987780421
405	0.1979469741
406	0.1977581308
407	0.1975369729
408	0.1973492646
409	0.1969558148
410	0.1967984822
411	0.1965917004
412	0.1961326914
413	0.1956531903
414	0.1954560398
415	0.1952770958
416	0.1949078584
417	0.1946855498
418	0.1944881155
419	0.1940423792
420	0.1938751158
421	0.1933240024
422	0.1931400614
423	0.1928390471
424	0.1926868218
425	0.1925028651
426	0.191863257
427	0.1916987206
428	0.1915507041
429	0.1909575502
430	0.1906131398
431	0.1903916824
432	0.1898733092
433	0.1897632504
434	0.1896333931
435	0.1894426425
436	0.1892867601
437	0.1890368186
438	0.188846462
439	0.1886873639
440	0.1884542418
441	0.1882996047
442	0.1880167496
443	0.1876825222
444	0.1875093949
445	0.1871342304
446	0.1868554423
447	0.1866911265
448	0.1865063502
449	0.1860238067
450	0.1858795103
451	0.1857418502
452	0.185591611
453	0.1852195046
454	0.1850887172
455	0.1848267169
456	0.1846163884
457	0.1845153304
458	0.1844209876
459	0.1842274154
460	0.1839214199
461	0.1837691945
462	0.1834235388
463	0.1831894709
464	0.1828796135
465	0.1827528142
466	0.1826075404
467	0.182444801
468	0.1820488607
469	0.1817443785
470	0.181432992
471	0.1811379362
472	0.1809467127
473	0.180721882
474	0.1805593475
475	0.1804404141
476	0.1801789181
477	0.1800149019
478	0.179737028
479	0.1795970192
480	0.1794532587
481	0.1793067554
482	0.1792291216
483	0.1788258671
484	0.1785882367
485	0.1781358325
486	0.1779639189
487	0.1778724292
488	0.177465959
489	0.1772868417
490	0.1771486456
491	0.1768526755
492	0.1766550679
493	0.1764728136
494	0.1763471178
495	0.176093803
496	0.1760113929
497	0.1758060613
498	0.1756542458
499	0.1755324592
500	0.1753811166
501	0.1752919599
502	0.1751920211
503	0.1750155993
504	0.1748522924
505	0.1745207448
506	0.1742002629
507	0.1740379018
508	0.1738484123
509	0.1736209176
510	0.1732723457
511	0.1729333893
512	0.1726411867
513	0.1724801812
514	0.1722591968
515	0.1721139388
516	0.1716025014
517	0.1714238254
518	0.1711515632
519	0.1709127505
520	0.1708356369
521	0.170694761
522	0.1703723718
523	0.1702333088
524	0.1700696393
525	0.1699134732
526	0.1697626981
527	0.1696348111
528	0.1693573313
529	0.1692487859
530	0.1690285738
531	0.1688775937
532	0.1686268326
533	0.1685212821
534	0.1684299028
535	0.1681772185
536	0.1677049999
537	0.1675514663
538	0.1674014951
539	0.1673100527
540	0.1671661503
541	0.1670663849
542	0.1666698298
543	0.1665557515
544	0.1664281798
545	0.1662942398
546	0.1661582033
547	0.165907978
548	0.165675581
549	0.1655945896
550	0.1653896679
551	0.1652006039
552	0.1648955227
553	0.1647713716
554	0.1646480403
555	0.1645189869
556	0.1643527007
557	0.1641449731
558	0.1640279313
559	0.1637155517
560	0.16361927
561	0.1635531591
562	0.1632860988
563	0.1631599143
564	0.1627591031
565	0.1625629457
566	0.1623960763
567	0.1622105433
568	0.1620841854
569	0.162024695
570	0.1619473765
571	0.161738309
572	0.1615415053
573	0.1611696669
574	0.1610233685
575	0.1608948511
576	0.1607341609
577	0.160616252
578	0.160519529
579	0.1602260495
580	0.1601221699
581	0.1599927855
582	0.1599195181
583	0.1598093332
584	0.1595984215
585	0.1595306396
586	0.1593843886
587	0.1592517727
588	0.158931811
589	0.1585573559
590	0.1584615471
591	0.1580027115
592	0.1576545968
593	0.1574921726
594	0.1570647374
595	0.1568795512
596	0.156779502
597	0.156697423
598	0.1565862608
599	0.1564657353
600	0.1563338918
601	0.1562703976
602	0.156138759
