iter	Passed	Remaining
0	3	3422
1	10	5476
2	13	4586
3	16	4124
4	20	4026
5	24	3980
6	27	3962
7	30	3820
8	34	3793
9	37	3680
10	43	3934
11	46	3832
12	68	5206
13	79	5584
14	84	5542
15	87	5393
16	90	5258
17	97	5321
18	100	5196
19	106	5203
20	109	5104
21	113	5027
22	116	4940
23	122	4963
24	125	4885
25	128	4804
26	131	4735
27	134	4658
28	140	4693
29	143	4631
30	146	4585
31	149	4522
32	155	4557
33	158	4500
34	161	4441
35	163	4386
36	166	4339
37	172	4361
38	175	4315
39	178	4275
40	180	4231
41	187	4280
42	191	4268
43	194	4233
44	198	4202
45	206	4292
46	209	4257
47	214	4250
48	221	4293
49	225	4275
50	228	4246
51	231	4213
52	237	4237
53	240	4210
54	243	4180
55	246	4152
56	249	4132
57	255	4146
58	259	4141
59	262	4113
60	269	4151
61	272	4122
62	276	4109
63	279	4083
64	284	4099
65	287	4073
66	291	4064
67	294	4042
68	301	4064
69	305	4058
70	308	4032
71	312	4021
72	317	4033
73	322	4036
74	325	4014
75	328	3990
76	336	4034
77	339	4018
78	342	3997
79	346	3986
80	351	3990
81	355	3976
82	358	3961
83	364	3972
84	368	3962
85	371	3945
86	374	3933
87	377	3912
88	384	3931
89	386	3911
90	390	3896
91	392	3876
92	400	3906
93	403	3887
94	407	3882
95	413	3892
96	416	3876
97	419	3861
98	423	3850
99	426	3835
100	432	3852
101	435	3834
102	438	3819
103	446	3845
104	449	3834
105	452	3816
106	455	3799
107	458	3786
108	463	3787
109	466	3774
110	469	3761
111	473	3752
112	477	3750
113	480	3737
114	483	3722
115	486	3709
116	489	3694
117	495	3702
118	498	3687
119	500	3673
120	503	3660
121	506	3647
122	512	3652
123	515	3641
124	518	3630
125	521	3616
126	524	3602
127	528	3597
128	531	3586
129	534	3577
130	537	3565
131	542	3566
132	545	3558
133	549	3550
134	552	3537
135	554	3525
136	561	3537
137	565	3530
138	568	3518
139	571	3508
140	576	3513
141	579	3504
142	582	3493
143	585	3482
144	594	3503
145	597	3494
146	600	3483
147	603	3473
148	610	3487
149	614	3480
150	617	3469
151	624	3486
152	627	3476
153	631	3466
154	634	3458
155	641	3468
156	644	3459
157	647	3452
158	651	3443
159	657	3451
160	661	3444
161	664	3437
162	667	3427
163	673	3432
164	677	3430
165	681	3421
166	683	3411
167	688	3411
168	693	3411
169	696	3402
170	700	3394
171	704	3392
172	709	3389
173	712	3383
174	715	3373
175	721	3379
176	725	3371
177	728	3365
178	732	3357
179	739	3369
180	743	3364
181	747	3357
182	749	3348
183	756	3354
184	760	3349
185	763	3341
186	766	3331
187	770	3327
188	773	3317
189	776	3308
190	778	3299
191	781	3290
192	785	3286
193	789	3280
194	792	3272
195	795	3263
196	798	3255
197	803	3252
198	806	3245
199	809	3236
200	812	3228
201	817	3231
202	820	3222
203	823	3214
204	826	3205
